ancestry_label,people,people_in_snap_hh,rate
Afghan,207443.0,116179.0,0.5600526409664341
Somali,151862.0,82811.0,0.5453042894206582
Yemeni,76848.0,41352.0,0.5381011867582761
Marshallese,29697.0,15418.0,0.5191770212479375
Iraqi,128368.0,53283.0,0.41508008226349247
Micronesian,37568.0,15504.0,0.4126916524701874
Eskimo,50330.0,19971.0,0.39680111265646734
Bhutanese,10419.0,4097.0,0.3932239178424033
Burmese,160158.0,61612.0,0.38469511357534436
Dominican,1662431.0,616340.0,0.37074621442935074
Sudanese,70954.0,26207.0,0.3693519745187023
Arabic,99693.0,35835.0,0.35945352231350247
Chaldean,38853.0,13904.0,0.3578616837824621
Cape Verdean,76102.0,25302.0,0.3324748364037739
Chicano,89883.0,28746.0,0.31981576048863525
Guinean,13850.0,4299.0,0.3103971119133574
Hmong,248676.0,76874.0,0.3091331692644244
Rom,15611.0,4819.0,0.30869258855934917
Congolese,96026.0,28488.0,0.2966696519692583
Other Pacific,18648.0,5524.0,0.29622479622479625
American Indian,1299589.0,384129.0,0.2955772940521965
Puerto Rican,3141082.0,916173.0,0.2916743338760338
Cuban,1636153.0,475700.0,0.2907429806381188
African American,24616987.0,7061600.0,0.2868588263868361
Tongan,44901.0,12736.0,0.2836462439589319
Haitian,1052257.0,296312.0,0.2815966061522993
Creole,37927.0,10155.0,0.2677512062646663
Arab,72231.0,18264.0,0.25285542218714957
Honduran,977571.0,243963.0,0.24956038998701885
Cambodian,228620.0,56564.0,0.24741492432858017
Pacific Islander,55250.0,13540.0,0.24506787330316743
Mexican American,3294480.0,802730.0,0.24365909035720357
St Lucia Islander,20429.0,4928.0,0.24122570855156886
African,1477231.0,353482.0,0.23928688201100573
Bengali,59037.0,14074.0,0.2383928722665447
Native American,1013078.0,240687.0,0.23757992967964955
Cantonese,14561.0,3439.0,0.23617883387130004
Laotian,186801.0,44000.0,0.23554477759755033
British West Indian,19089.0,4492.0,0.23531876997223533
Bahamian,46007.0,10786.0,0.2344425848240485
Moroccan,147180.0,34321.0,0.2331906509036554
Indian,235855.0,54299.0,0.23022195840664816
Syrian,148114.0,33829.0,0.22839839583023888
Mexicano,881884.0,199474.0,0.22619074617523394
Ugandan,33429.0,7402.0,0.22142451165156002
West Indian,177255.0,39193.0,0.2211108290316211
Sierra Leonean,27709.0,6103.0,0.22025334728788482
Bangladeshi,241085.0,52793.0,0.21898085737395526
Mexican State,759313.0,163490.0,0.21531305272002454
Other West Indian,24866.0,5319.0,0.21390653904930426
Latino,565667.0,120187.0,0.21246952712461573
Assyrian,31337.0,6623.0,0.21134760825860804
Kurdish,18036.0,3784.0,0.20980261698824573
Other Subsaharan African,125786.0,26334.0,0.20935557216224382
Mexican,20235679.0,4221027.0,0.20859329701760934
Cherokee,292594.0,60787.0,0.20775203866107986
Hispanic,3408901.0,708181.0,0.20774466609619932
Mexican Indian,48880.0,10144.0,0.20752864157119477
Mexican American Indian,247262.0,50593.0,0.20461292070758952
Guatemalan,1382830.0,278774.0,0.2015967255555636
Mideast,124115.0,24917.0,0.20075736212383677
Armenian,383585.0,75854.0,0.19775017271269732
Egyptian,296620.0,58040.0,0.19567122918211854
Guyanese,230235.0,44476.0,0.1931765370165266
Afro,40503.0,7749.0,0.19131916154358936
Vincent-Grenadine Islander,21083.0,4030.0,0.19114926718208983
Georgia CIS,25270.0,4736.0,0.18741590819153145
Latin,108177.0,20187.0,0.1866108322471505
Eritrean,56496.0,10541.0,0.18657958085528178
Central American,35759.0,6621.0,0.18515618445705975
Nepali,175355.0,32153.0,0.1833594707878304
Uzbeg,39684.0,7271.0,0.18322245741356719
Latin American,58803.0,10760.0,0.1829838613676173
Salvadoran,1676292.0,306182.0,0.18265433468631956
Palestinian,135352.0,24619.0,0.18188870500620605
Belizean,44326.0,7886.0,0.17790912782565538
Southern European,19916.0,3536.0,0.17754569190600522
Barbadian,55451.0,9833.0,0.17732773078934555
Samoan,112727.0,19871.0,0.17627542647280597
German Russian,22161.0,3894.0,0.1757140923243536
Ukrainian,914298.0,160179.0,0.1751934270883235
Libyan,14515.0,2510.0,0.17292456079917326
Nicaraguan,365409.0,62995.0,0.1723958632655463
Spaniard,688705.0,117712.0,0.17091788211207992
Jamaican,1098474.0,186712.0,0.16997398208787828
Other groups,75409.0,12806.0,0.16982057844554363
Chamorro,47974.0,8111.0,0.16907074665443783
Not reported,72434766.0,12209601.0,0.16855995641650862
Spanish American,44819.0,7526.0,0.1679198554184609
Ethiopian,303246.0,50111.0,0.1652486759924286
Panamanian,123771.0,20357.0,0.16447309951442585
Tibetan,15553.0,2512.0,0.16151224844081527
Hawaiian,315022.0,49971.0,0.15862701652582994
Vietnamese,1558650.0,246859.0,0.15838000834055113
Ecuadorian,579162.0,91271.0,0.15759148562923672
Jordanian,85745.0,13387.0,0.15612572161642077
Bosnian and Herzegovinian,112575.0,17448.0,0.15499000666222518
Spanish,1737804.0,269249.0,0.1549363449502936
Trinidadian Tobagonian,201237.0,30981.0,0.15395280192012403
Liberian,75597.0,11157.0,0.1475852216357792
Peruvian,499436.0,73348.0,0.14686165995242634
South American,29415.0,4289.0,0.14580996090430054
White,10053988.0,1460355.0,0.1452513171887613
Algerian,28872.0,4174.0,0.1445691327237462
Western African,35158.0,5013.0,0.14258490244041186
Albanian,201326.0,28291.0,0.14052333031997855
Asian,864623.0,120789.0,0.13970134960555064
Paraguayan,15921.0,2188.0,0.13742855348282143
South American Indian,19572.0,2677.0,0.13677702840792968
Grenadian,33811.0,4600.0,0.1360503977995327
Turkestani,34868.0,4680.0,0.13422048870024092
Pakistani,464956.0,61554.0,0.13238672046387184
Guamanian,21389.0,2806.0,0.1311889288886811
United States,723609.0,94563.0,0.13068245419833086
American,15094222.0,1961215.0,0.12993150624126237
Uncodable entries,9368963.0,1206160.0,0.1287399683401461
Punjabi,64877.0,8340.0,0.12855095025972224
Chilean,122583.0,15608.0,0.12732597505363713
Colombian,1043988.0,126082.0,0.12076958738989337
Fijian,26542.0,3179.0,0.11977243613894958
Gambian,22084.0,2640.0,0.11954356094910343
Sicilian,132341.0,15797.0,0.1193658805661133
Antigua and Barbuda,10618.0,1264.0,0.11904313430024487
Malaysian,32039.0,3739.0,0.11670152002247261
Costa Rican,91412.0,10643.0,0.11642891524088742
Mongolian,31557.0,3640.0,0.11534683271540387
Dutch West Indian,11447.0,1320.0,0.11531405608456365
Belorussian,64162.0,7366.0,0.11480315451513357
Montenegrin,13398.0,1501.0,0.11203164651440513
Iranian,478922.0,53079.0,0.11083015605881542
Indonesian,72273.0,7976.0,0.11035933197736361
Mixture,1301712.0,142809.0,0.10970859913713632
Uruguayan,32675.0,3567.0,0.10916602907421576
Nigerian,687105.0,74889.0,0.10899207544698408
Appalachian,15689.0,1707.0,0.10880234559245332
Cameroonian,69145.0,7519.0,0.10874249764986622
Celtic,30327.0,3287.0,0.1083852672536024
Filipino,2750329.0,297287.0,0.10809143197050244
Other responses,1205568.0,129559.0,0.1074671855921856
Venezuelan,544119.0,57767.0,0.1061661143977696
Cajun,79542.0,8288.0,0.10419652510623319
East Indian,50923.0,5268.0,0.10345030732674823
Hungarian,708706.0,73164.0,0.10323603863943581
Chinese,3622047.0,371310.0,0.10251385473462934
Portuguese,927339.0,94554.0,0.10196271266494777
Slavic,83042.0,8381.0,0.10092483321692637
Texas,53268.0,5286.0,0.09923406172561387
Togo,27486.0,2681.0,0.09754056610638143
Sri Lankan,66829.0,6468.0,0.09678433015606996
Pennsylvania German,182919.0,17594.0,0.09618465003635489
Anglo,190013.0,18197.0,0.09576713172256635
French,3334912.0,318843.0,0.09560762023105857
Russian,1349591.0,128979.0,0.0955689538534267
Ghanaian,207147.0,19676.0,0.09498568649316669
Central American Indian,73589.0,6968.0,0.09468806479229233
North American,25683.0,2430.0,0.09461511505665227
Prussian,33117.0,3117.0,0.09412084427937313
Brazilian,526350.0,49444.0,0.09393749406288592
North African,18020.0,1690.0,0.09378468368479467
Lebanese,437589.0,40602.0,0.09278569616695118
Hong Kong,29668.0,2736.0,0.09222057435620871
Turkish,217581.0,19868.0,0.0913131201713385
Senegalese,35458.0,3204.0,0.09036042641998984
Moldavian,30898.0,2789.0,0.09026474205450191
Yugoslavian,52461.0,4716.0,0.08989535083204667
Irish Scotch,1054027.0,93211.0,0.08843321850389031
Irish,18341138.0,1601914.0,0.08733994586377355
Korean,1406606.0,121542.0,0.0864079920034466
French Canadian,1114189.0,93477.0,0.08389689720505228
Other Asian,22679.0,1828.0,0.08060320119934741
Other Arab,21655.0,1720.0,0.07942738397598707
Italian,11904159.0,939176.0,0.07889477954721538
Thai,212572.0,16736.0,0.07873097115330335
Bohemian,91570.0,7135.0,0.07791853227039423
Greek,893413.0,69598.0,0.07790126179045972
Welsh,695745.0,52970.0,0.07613421584057377
Scotch Irish,1708139.0,128556.0,0.07526085406398425
Saudi Arabian,13826.0,1037.0,0.07500361637494575
Romanian,271038.0,20019.0,0.07386049188674651
German,28705103.0,2110149.0,0.07351128473567922
Basque,44672.0,3265.0,0.07308828796561605
Bulgarian,88125.0,6431.0,0.07297588652482269
English,21785448.0,1575881.0,0.07233640547580202
Israeli,105421.0,7594.0,0.07203498354217851
Polynesian,8600.0,612.0,0.07116279069767442
Germanic,83185.0,5918.0,0.0711426338883212
Dutch,1764090.0,123713.0,0.07012850818268909
Kenyan,119307.0,8236.0,0.069031993093448
European,4294466.0,296112.0,0.06895199542853524
Scottish,3217064.0,220761.0,0.06862188629135137
Scandinavian,610243.0,40565.0,0.06647351956515683
Icelander,34846.0,2297.0,0.06591861332721116
Polish,5313270.0,347669.0,0.06543409237625794
Argentinean,136690.0,8938.0,0.0653888360523813
Czechoslovakian,130923.0,8559.0,0.06537430398020211
British,795272.0,49274.0,0.061958675773823295
Bolivian,92199.0,5665.0,0.061443182680940144
Finnish,400689.0,24326.0,0.06071042629071424
Lithuanian,320587.0,18760.0,0.058517656673539475
Zimbabwean,13977.0,816.0,0.0583816269585748
Canadian,388058.0,22400.0,0.05772333001767777
Norwegian,2518174.0,141848.0,0.05632970557237109
Swedish,1787597.0,99921.0,0.05589682685750759
Slovak,339626.0,18623.0,0.05483384664307209
Danish,596381.0,32556.0,0.05458926424550749
Serbian,135338.0,7207.0,0.05325185831030457
Austrian,299837.0,15397.0,0.05135123417056601
Central European,11764.0,597.0,0.05074804488269296
Belgian,176844.0,8964.0,0.05068874262061478
Taiwanese,376454.0,18412.0,0.048909030054136764
Eastern European,739414.0,34884.0,0.047177900337294125
Western European,403688.0,19004.0,0.04707595965200848
Northern European,358010.0,16558.0,0.04625010474567749
Asian Indian,3483362.0,158368.0,0.0454641234531467
Macedonian,38747.0,1738.0,0.044855085555010714
Japanese,932689.0,41494.0,0.04448857014503227
Maltese,27087.0,1180.0,0.043563332964152546
Czech,561077.0,23644.0,0.04214038358371489
Croatian,243909.0,9780.0,0.04009692139281453
Australian,57643.0,2132.0,0.036986277605259965
Swiss,475258.0,16658.0,0.03505043576331172
South African,66455.0,2162.0,0.03253329320592883
British Isles,70147.0,2195.0,0.03129143085235292
Luxembourger,24448.0,762.0,0.031168193717277488
Latvian,58655.0,1750.0,0.02983547864632171
Okinawan,15532.0,419.0,0.026976564511975276
Slovene,99448.0,2261.0,0.022735499959777975
Estonian,15731.0,346.0,0.02199478736253258
Flemish,4638.0,71.0,0.015308322552824494
Alsatian,5407.0,50.0,0.009247272054743851
New Zealander,14322.0,67.0,0.004678117581343388
