ancestry_code,people,people_in_snap_hh,rate,ancestry_label
600,206320.0,115995.0,0.5622091896083753,Afghan
568,149138.0,81756.0,0.5481902667328247,Somali
435,76724.0,41352.0,0.5389708565768209,Yemeni
825,28187.0,14419.0,0.5115478766807393,Marshallese
820,36935.0,15504.0,0.4197644510626777,Micronesian
417,127663.0,53211.0,0.4168083156435302,Iraqi
922,49535.0,19665.0,0.39699202584031495,Eskimo
607,10367.0,4097.0,0.3951962959390373,Bhutanese
700,157383.0,61418.0,0.3902454521771729,Burmese
576,67690.0,25876.0,0.3822721229132811,Sudanese
900,161469.0,61521.0,0.3810081192055441,Afro American
275,1637109.0,609460.0,0.37227820505537507,Dominican
496,97973.0,35676.0,0.36414114092658184,Arabic
484,38794.0,13845.0,0.35688508532247254,Chaldean
510,74669.0,25142.0,0.3367126920140888,Cape Verdean
213,86020.0,28358.0,0.32966751918158566,Chicano
530,13134.0,4299.0,0.3273184102329831,Guinean
768,246361.0,76541.0,0.3106863505181421,Hmong
124,15522.0,4819.0,0.3104625692565391,Rom
903,3535489.0,1081084.0,0.3057806147890716,Black
899,18339.0,5524.0,0.30121598778559355,Other Pacific
920,1254536.0,376406.0,0.3000360292570321,American Indian
515,94965.0,28488.0,0.2999842047069973,Congolese
261,3058828.0,900618.0,0.2944323773680638,Puerto Rican
271,1604859.0,471510.0,0.29380151153465817,Cuban
902,19876020.0,5775289.0,0.29056566656704913,African American
815,43836.0,12736.0,0.29053745779724427,Tongan
336,1032743.0,293995.0,0.28467392177918416,Haitian
907,36838.0,9941.0,0.26985721266083934,Creole
904,15651.0,4133.0,0.2640725832215194,Negro
300,42164.0,10786.0,0.2558106441514088,Bahamian
495,70952.0,18037.0,0.25421411658586085,Arab
850,52681.0,13210.0,0.25075454148554505,Pacific Islander
331,19660.0,4928.0,0.25066124109867755,St Lucia Islander
223,957643.0,238558.0,0.24910953246669165,Honduran
703,226682.0,56326.0,0.24848024986545028,Cambodian
211,3232624.0,796337.0,0.2463438370809596,Mexican American
599,1407676.0,341967.0,0.24293019132243499,African
917,966936.0,232761.0,0.24072017175904092,Native American
618,58060.0,13783.0,0.23739235273854634,Bengali
322,18924.0,4492.0,0.23737053477066158,British West Indian
406,143387.0,33982.0,0.23699498559841548,Moroccan
765,184084.0,43539.0,0.23651702483648768,Laotian
918,229859.0,53174.0,0.23133312160933442,Indian
429,146119.0,33648.0,0.23027806103244616,Syrian
707,14300.0,3267.0,0.22846153846153847,Cantonese
212,874563.0,199061.0,0.2276119616311232,Mexicano
588,32574.0,7402.0,0.22723644624547185,Ugandan
566,27077.0,6103.0,0.22539424603907376,Sierra Leonean
335,174160.0,38771.0,0.22261713367018834,West Indian
603,237755.0,52705.0,0.22167777754411053,Bangladeshi
359,24037.0,5319.0,0.22128385405832673,Other West Indian
218,739426.0,160852.0,0.21753630518807832,Mexican State
483,30844.0,6623.0,0.21472571650888342,Assyrian
252,557130.0,118402.0,0.21252131459443935,Latino
587,122176.0,25919.0,0.21214477475117863,Other Subsaharan African
290,3307651.0,697376.0,0.2108372376650378,Hispanic
210,19901514.0,4178118.0,0.20993970609472223,Mexican
442,18036.0,3784.0,0.20980261698824573,Kurdish
919,283264.0,59404.0,0.20971249435155898,Cherokee
219,47897.0,9875.0,0.20617157650792325,Mexican Indian
215,241211.0,49468.0,0.20508185779255506,Mexican American Indian
222,1366817.0,277387.0,0.20294377374586356,Guatemalan
490,121949.0,24726.0,0.2027568901754012,Mideast
431,379731.0,75755.0,0.1994964856701191,Armenian
402,291125.0,57332.0,0.19693258909403177,Egyptian
370,227555.0,43827.0,0.19259959130759596,Guyanese
901,39788.0,7579.0,0.19048456821152107,Afro
170,25133.0,4736.0,0.1884375124338519,Georgia CIS
227,35143.0,6621.0,0.18840167316393022,Central American
523,55815.0,10435.0,0.18695691122458122,Eritrean
251,107128.0,19960.0,0.1863191695915167,Latin
169,38989.0,7257.0,0.1861294211187771,Uzbeg
609,172970.0,32153.0,0.18588772619529398,Nepali
330,20624.0,3801.0,0.18429984484096198,Vincent-Grenadine Islander
250,58501.0,10760.0,0.1839284798550452,Latin American
226,1660109.0,305131.0,0.1838017865091991,Salvadoran
302,43430.0,7886.0,0.1815795533041676,Belizean
301,54200.0,9823.0,0.18123616236162363,Barbadian
465,133260.0,24131.0,0.18108209515233378,Palestinian
185,19798.0,3536.0,0.17860389938377613,Southern European
171,899712.0,158646.0,0.1763297588561673,Ukrainian
122,21906.0,3811.0,0.1739706016616452,German Russian
404,14453.0,2510.0,0.1736663668442538,Libyan
814,109068.0,18934.0,0.17359812227234386,Samoan
200,677500.0,117478.0,0.17339926199261993,Spaniard
224,362598.0,62735.0,0.17301529517537328,Nicaraguan
822,46982.0,8111.0,0.17264058575624708,Chamorro
997,74237.0,12806.0,0.17250158276870026,Other groups
999,69716730.0,11982204.0,0.17186985103862445,Not reported
308,1069139.0,181990.0,0.1702210844427151,Jamaican
295,44445.0,7520.0,0.16919788502643718,Spanish American
225,120333.0,19904.0,0.1654076604090316,Panamanian
714,15188.0,2512.0,0.1653937318936002,Tibetan
522,296822.0,48851.0,0.16458011872435332,Ethiopian
785,1530596.0,244340.0,0.1596371609490682,Vietnamese
235,572219.0,90597.0,0.15832574591196727,Ecuadorian
811,304820.0,48113.0,0.15784069286792204,Hawaiian
177,110984.0,17448.0,0.15721185035680818,Bosnian and Herzegovinian
421,84928.0,13274.0,0.15629709871891484,Jordanian
291,1715846.0,267452.0,0.15587179735244305,Spanish
314,196073.0,30331.0,0.15469238497906393,Trinidadian Tobagonian
541,75140.0,11157.0,0.1484828320468459,Liberian
237,491712.0,72694.0,0.14783857217232851,Peruvian
924,9820590.0,1443209.0,0.14695746385909605,White
400,28600.0,4174.0,0.14594405594405593,Algerian
795,835364.0,119878.0,0.14350390967290905,Asian
249,28329.0,4007.0,0.14144516220127784,South American
100,199561.0,28193.0,0.1412750988419581,Albanian
598,33563.0,4622.0,0.1377111700384352,Western African
236,15389.0,2118.0,0.13763077522905973,Paraguayan
168,34057.0,4680.0,0.1374166837948146,Turkestani
914,19569.0,2677.0,0.13679799683172364,South American Indian
821,20850.0,2806.0,0.13458033573141487,Guamanian
680,458945.0,61467.0,0.1339310810663587,Pakistani
329,33619.0,4493.0,0.13364466521907256,Grenadian
939,14558655.0,1927477.0,0.1323938921555597,American
940,707988.0,93402.0,0.1319259648468618,United States
650,64270.0,8285.0,0.12890928893729578,Punjabi
996,9256164.0,1191562.0,0.12873172947238187,Uncodable entries
233,121076.0,15509.0,0.12809309854967127,Chilean
325,10294.0,1258.0,0.12220711093841072,Antigua and Barbuda
234,1030157.0,124359.0,0.12071849242397033,Colombian
841,26496.0,3179.0,0.11998037439613526,Fijian
68,130646.0,15421.0,0.118036526185264,Sicilian
770,31737.0,3739.0,0.11781201751898415,Malaysian
712,31077.0,3640.0,0.11712842294944814,Mongolian
221,90021.0,10442.0,0.11599515668566224,Costa Rican
102,63568.0,7268.0,0.11433425622954946,Belorussian
527,21619.0,2456.0,0.11360377445765299,Gambian
310,11287.0,1263.0,0.11189864445822628,Dutch West Indian
416,472651.0,52755.0,0.11161512405559282,Iranian
730,71052.0,7860.0,0.1106232055396048,Indonesian
238,32323.0,3567.0,0.11035485567552517,Uruguayan
553,671023.0,73576.0,0.10964750835664351,Nigerian
720,2707379.0,295188.0,0.10903091144608863,Filipino
995,1291700.0,140285.0,0.10860493922737478,Mixture
508,67868.0,7329.0,0.10798903754346673,Cameroonian
998,1179342.0,126808.0,0.10752436528165706,Other responses
927,15634.0,1652.0,0.10566713572981963,Appalachian
620,50096.0,5268.0,0.10515809645480677,East Indian
937,78978.0,8288.0,0.10494061637418015,Cajun
706,3520100.0,364972.0,0.10368228175335928,Chinese
239,533381.0,55125.0,0.10335013808140897,Venezuelan
125,699527.0,72119.0,0.10309680684233775,Hungarian
178,81396.0,8381.0,0.1029657477025898,Slavic
84,915774.0,93649.0,0.10226213017622252,Portuguese
983,52757.0,5286.0,0.10019523475557746,Texas
99,29338.0,2886.0,0.09837071375008521,Celtic
586,27480.0,2681.0,0.09756186317321688,Togo
925,181826.0,17646.0,0.09704882690044328,Anglo
690,66173.0,6386.0,0.096504616686564,Sri Lankan
929,182079.0,17506.0,0.09614507988290796,Pennsylvania German
26,3271953.0,313307.0,0.0957553485639922,French
148,1321726.0,126042.0,0.09536167102712666,Russian
716,28715.0,2736.0,0.09528121191015149,Hong Kong
131,13148.0,1251.0,0.09514755095832066,Montenegrin
360,519637.0,49337.0,0.09494512515467528,Brazilian
913,72683.0,6896.0,0.09487775683447298,Central American Indian
425,430194.0,40502.0,0.09414822150006741,Lebanese
529,202127.0,18829.0,0.09315430397720245,Ghanaian
434,212392.0,19492.0,0.09177370145768202,Turkish
564,34866.0,3178.0,0.09114897034360121,Senegalese
146,30898.0,2789.0,0.09026474205450191,Moldavian
94,1036408.0,92135.0,0.08889838750762248,Irish Scotch
176,51348.0,4558.0,0.08876684583625458,Yugoslavian
50,17978878.0,1567051.0,0.08716066708945909,Irish
750,1376942.0,119865.0,0.08705159694453361,Korean
411,17626.0,1497.0,0.0849313514126858,North African
935,1097537.0,93204.0,0.08492105505326927,French Canadian
994,24260.0,2051.0,0.08454245671887882,North American
799,22592.0,1828.0,0.08091359773371105,Other Asian
51,11683002.0,921059.0,0.07883752823118578,Italian
776,208313.0,16310.0,0.07829564165462549,Thai
112,90401.0,7077.0,0.07828453225074944,Bohemian
46,878170.0,68388.0,0.07787558217657173,Greek
97,685257.0,51768.0,0.07554537932483725,Welsh
427,13826.0,1037.0,0.07500361637494575,Saudi Arabian
87,1688710.0,126359.0,0.07482575457005643,Scotch Irish
32,28213222.0,2074252.0,0.07352056422339852,German
103,87500.0,6431.0,0.07349714285714286,Bulgarian
499,20965.0,1540.0,0.07345575959933222,Other Arab
419,103695.0,7579.0,0.07308934857032644,Israeli
194,81577.0,5918.0,0.07254495752479252,Germanic
22,21552119.0,1561340.0,0.07244484869446016,English
808,8449.0,612.0,0.07243460764587525,Polynesian
144,267841.0,19165.0,0.07155364563304349,Romanian
21,1732264.0,121961.0,0.07040555019327308,Dutch
534,115897.0,8109.0,0.06996729854957419,Kenyan
195,4209019.0,290423.0,0.06900016369610115,European
88,3169819.0,217394.0,0.06858246480319538,Scottish
49,34136.0,2297.0,0.06728966486993204,Icelander
114,128376.0,8502.0,0.06622733221162834,Czechoslovakian
142,5226940.0,344197.0,0.06585057414089314,Polish
231,133444.0,8758.0,0.06563052666286982,Argentinean
98,600914.0,39401.0,0.06556845072672629,Scandinavian
40,31686.0,2043.0,0.06447642491952282,Prussian
5,43986.0,2728.0,0.0620197335515846,Basque
232,91477.0,5665.0,0.06192813494102343,Bolivian
593,13431.0,816.0,0.060754969845878935,Zimbabwean
24,395169.0,23983.0,0.060690489385554026,Finnish
11,779329.0,47236.0,0.060611115459581255,British
129,317306.0,18605.0,0.058634252109950644,Lithuanian
931,377167.0,21785.0,0.057759560088767044,Canadian
89,1761974.0,98559.0,0.05593669373100851,Swedish
82,2478832.0,138170.0,0.055739961401176034,Norwegian
20,586583.0,32399.0,0.05523344522429051,Danish
152,133910.0,7107.0,0.05307295945037712,Serbian
153,335280.0,17772.0,0.053006442376521114,Slovak
3,295770.0,15224.0,0.051472427900057474,Austrian
8,174500.0,8857.0,0.05075644699140401,Belgian
181,11764.0,597.0,0.05074804488269296,Central European
782,369062.0,18123.0,0.049105570337775226,Taiwanese
190,731758.0,34708.0,0.04743098128069662,Eastern European
183,355151.0,16558.0,0.046622422575186326,Northern European
187,401000.0,18539.0,0.046231920199501245,Western European
615,3413175.0,157188.0,0.04605330813685205,Asian Indian
130,38196.0,1738.0,0.045502146821656715,Macedonian
740,915222.0,40818.0,0.044599015320872966,Japanese
111,552657.0,23560.0,0.04263041995306311,Czech
78,26332.0,1084.0,0.04116664134892906,Maltese
109,239750.0,9318.0,0.03886548488008342,Croatian
800,56026.0,2132.0,0.03805376075393567,Australian
91,469729.0,16319.0,0.03474130828626719,Swiss
570,64817.0,2162.0,0.03335544687350541,South African
77,23928.0,762.0,0.031845536609829486,Luxembourger
12,69285.0,2165.0,0.031247744822111567,British Isles
128,57352.0,1750.0,0.03051332124424606,Latvian
748,15211.0,419.0,0.027545854973374532,Okinawan
154,98397.0,2254.0,0.02290720245535941,Slovene
115,15491.0,346.0,0.022335549674004262,Estonian
9,4638.0,71.0,0.015308322552824494,Flemish
1,5215.0,50.0,0.009587727708533078,Alsatian
803,14277.0,67.0,0.004692862646214191,New Zealander
